,firstChar,lastChar,isLastCharVowel,lastTwoChar,gender
4541,v,n,0,in,1
4542,a,a,1,ya,1
4543,g,r,0,ur,1
4544,g,r,0,ur,1
4545,g,r,0,ur,1
4546,r,r,0,er,1
4547,g,n,0,an,1
4548,r,l,0,ul,1
4549,s,m,0,am,1
4550,s,m,0,am,1
4551,g,n,0,an,1
4552,r,i,1,vi,1
4553,s,r,0,er,1
4554,a,n,0,an,1
4555,s,r,0,ir,1
4556,r,n,0,in,1
4557,p,m,0,em,1
4558,r,r,0,er,1
4559,n,a,1,ra,1
4560,r,m,0,am,1
4561,j,r,0,ar,1
4562,r,s,0,as,1
4563,d,h,0,sh,1
4564,d,h,0,sh,1
4565,p,t,0,nt,1
4566,v,y,0,ky,1
4567,v,y,0,ky,1
4568,r,i,1,vi,1
4569,a,l,0,ul,1
4570,s,l,0,il,1
4571,m,h,0,sh,1
4572,g,n,0,an,1
4573,s,p,0,ep,1
4574,r,r,0,ar,1
4575,a,y,0,ay,1
4576,p,n,0,an,1
4577,r,m,0,am,1
4578,z,i,1,mi,1
4579,u,r,0,ar,1
4580,p,j,0,aj,1
4581,a,l,0,il,1
4582,y,t,0,nt,1
4583,g,v,0,av,1
4584,m,l,0,al,1
4585,h,t,0,nt,1
4586,v,y,0,ay,1
4587,v,l,0,al,1
4588,a,h,0,sh,1
4589,s,u,1,nu,1
4590,r,u,1,ju,1
4591,s,l,0,il,1
4592,s,l,0,il,1
4593,m,u,1,nu,1
4594,c,t,0,ct,1
4595,r,l,0,ul,1
4596,n,n,0,in,1
4597,s,r,0,ir,1
4598,s,l,0,il,1
4599,s,o,1,to,1
4600,s,l,0,il,1
4601,r,m,0,am,1
4602,s,r,0,ar,1
4603,n,n,0,an,1
4604,b,l,0,al,1
4605,k,n,0,an,1
4606,r,u,1,ju,1
4607,r,r,0,ir,1
4608,p,e,1,ce,1
4609,m,h,0,sh,1
4610,a,n,0,an,1
4611,k,a,1,ya,1
4612,a,l,0,ul,1
4613,a,k,0,ek,1
4614,t,u,1,ku,1
4615,v,y,0,ky,1
4616,h,l,0,al,1
4617,r,m,0,am,1
4618,r,m,0,am,1
4619,m,h,0,sh,1
4620,h,l,0,al,1
4621,r,m,0,am,1
4622,l,a,1,la,1
4623,v,y,0,ky,1
4624,a,i,1,ni,1
4625,v,t,0,tt,1
4626,m,h,0,sh,1
4627,m,r,0,ar,1
4628,a,k,0,ok,1
4629,p,n,0,an,1
4630,r,i,1,vi,1
4631,m,u,1,mu,1
4632,h,i,1,ni,1
4633,a,t,0,it,1
4634,n,h,0,sh,1
4635,s,l,0,il,1
4636,s,h,0,sh,1
4637,s,a,1,ta,1
4638,n,n,0,in,1
4639,o,m,0,om,1
4640,m,n,0,an,1
4641,s,h,0,sh,1
4642,v,y,0,ky,1
4643,k,a,1,ra,1
4644,a,h,0,sh,1
4645,a,l,0,il,1
4646,a,k,0,ok,1
4647,a,n,0,an,1
4648,a,y,0,ay,1
4649,n,r,0,ir,1
4650,a,n,0,in,1
4651,m,n,0,an,1
4652,a,k,0,ek,1
4653,m,j,0,oj,1
4654,a,t,0,it,1
4655,s,n,0,an,1
4656,r,l,0,al,1
4657,j,r,0,er,1
4658,l,i,1,mi,1
4659,r,a,1,ja,1
4660,n,h,0,gh,1
4661,a,l,0,il,1
4662,k,r,0,ar,1
4663,r,m,0,am,1
4664,l,i,1,mi,1
4665,v,y,0,ay,1
4666,t,n,0,un,1
4667,s,r,0,er,1
4668,j,r,0,ir,1
4669,h,h,0,sh,1
4670,b,n,0,an,1
4671,c,g,0,ag,1
4672,p,h,0,sh,1
4673,v,d,0,od,1
4674,k,n,0,an,1
4675,a,r,0,ar,1
4676,i,n,0,an,1
4677,r,u,1,ju,1
4678,p,n,0,en,1
4679,m,d,0,hd,1
4680,r,u,1,mu,1
4681,s,r,0,ar,1
4682,s,h,0,sh,1
4683,n,n,0,en,1
4684,s,h,0,sh,1
4685,m,z,0,oz,1
4686,s,p,0,ep,1
4687,p,h,0,sh,1
4688,a,l,0,al,1
4689,h,j,0,aj,1
4690,s,h,0,sh,1
4691,r,i,1,vi,1
4692,j,l,0,al,1
4693,s,l,0,il,1
4694,m,r,0,ar,1
4695,r,u,1,ju,1
4696,d,d,0,ad,1
4697,n,r,0,ar,1
4698,r,u,1,ju,1
4699,p,u,1,tu,1
4700,m,h,0,sh,1
4701,n,n,0,in,1
4702,u,h,0,sh,1
4703,s,h,0,dh,1
4704,m,h,0,sh,1
4705,w,n,0,in,1
4706,k,v,0,av,1
4707,r,k,0,ak,1
4708,s,n,0,an,1
4709,d,j,0,aj,1
4710,r,h,0,sh,1
4711,s,h,0,sh,1
4712,s,h,0,sh,1
4713,v,m,0,am,1
4714,j,u,1,du,1
4715,v,l,0,al,1
4716,y,r,0,er,1
4717,a,d,0,nd,1
4718,s,j,0,aj,1
4719,a,k,0,ok,1
4720,p,h,0,sh,1
4721,m,h,0,sh,1
4722,s,i,1,ni,1
4723,v,n,0,an,1
4724,r,i,1,vi,1
4725,b,u,1,ju,1
4726,d,r,0,er,1
4727,r,n,0,an,1
4728,g,m,0,am,1
4729,s,j,0,aj,1
4730,s,u,1,nu,1
4731,r,h,0,sh,1
4732,n,r,0,er,1
4733,a,h,0,sh,1
4734,r,l,0,al,1
4735,r,u,1,ju,1
4736,j,a,1,ra,1
4737,s,l,0,il,1
4738,n,n,0,en,1
4739,v,n,0,un,1
4740,m,l,0,al,1
4741,r,h,0,sh,1
4742,a,r,0,ur,1
4743,n,m,0,im,1
4744,k,n,0,an,1
4745,d,e,1,ve,1
4746,g,d,0,nd,1
4747,r,h,0,sh,1
4748,a,d,0,nd,1
4749,s,p,0,ep,1
4750,b,m,0,am,1
4751,k,i,1,hi,1
4752,a,h,0,sh,1
4753,v,y,0,ay,1
4754,v,r,0,er,1
4755,s,r,0,er,1
4756,m,i,1,hi,1
4757,d,r,0,er,1
4758,s,a,1,va,1
4759,r,r,0,er,1
4760,r,h,0,sh,1
4761,r,u,1,ju,1
4762,r,u,1,ju,1
4763,m,j,0,oj,1
4764,b,t,0,nt,1
4765,p,n,0,an,1
4766,r,h,0,sh,1
4767,s,m,0,im,1
4768,s,u,1,nu,1
4769,s,i,1,ai,1
4770,v,h,0,sh,1
4771,r,d,0,ud,1
4772,n,h,0,sh,1
4773,d,m,0,rm,1
4774,r,n,0,an,1
4775,s,l,0,il,1
4776,a,y,0,ay,1
4777,d,k,0,ik,1
4778,y,h,0,sh,1
4779,a,v,0,ev,1
4780,s,n,0,an,1
4781,r,h,0,sh,1
4782,r,h,0,sh,1
4783,r,h,0,th,1
4784,a,k,0,ok,1
4785,h,t,0,et,1
4786,k,l,0,il,1
4787,k,l,0,il,1
4788,v,s,0,as,1
4789,v,y,0,ay,1
4790,d,r,0,er,1
4791,g,b,0,ab,1
4792,s,l,0,al,1
4793,s,u,1,hu,1
4794,r,n,0,an,1
4795,d,a,1,sa,1
4796,r,d,0,id,1
4797,b,i,1,hi,1
4798,m,t,0,it,1
4799,d,k,0,ak,1
4800,t,m,0,am,1
4801,g,j,0,aj,1
4802,s,v,0,ev,1
4803,c,n,0,an,1
4804,l,n,0,an,1
4805,s,r,0,ar,1
4806,d,r,0,ir,1
4807,y,h,0,sh,1
4808,m,h,0,sh,1
4809,g,v,0,av,1
4810,s,h,0,sh,1
4811,r,j,0,aj,1
4812,t,f,0,if,1
4813,a,r,0,ur,1
4814,d,r,0,er,1
4815,m,u,1,nu,1
4816,n,a,1,ra,1
4817,n,h,0,sh,1
4818,p,p,0,ep,1
4819,r,h,0,sh,1
4820,r,a,1,ra,1
4821,b,u,1,ru,1
4822,d,j,0,aj,1
4823,b,a,1,la,1
4824,a,h,0,sh,1
4825,s,m,0,am,1
4826,a,d,0,nd,1
4827,r,r,0,er,1
4828,m,u,1,bu,1
4829,p,d,0,od,1
4830,s,y,0,ay,1
4831,r,m,0,im,1
4832,g,n,0,an,1
4833,b,i,1,bi,1
4834,r,h,0,sh,1
4835,s,a,1,ba,1
4836,m,a,1,ra,1
4837,n,t,0,ot,1
4838,r,r,0,ar,1
4839,s,h,0,th,1
4840,c,m,0,am,1
4841,j,h,0,sh,1
4842,m,a,1,fa,1
4843,p,d,0,od,1
4844,s,l,0,il,1
4845,m,l,0,ul,1
4846,s,h,0,sh,1
4847,s,t,0,et,1
4848,a,l,0,ul,1
4849,r,h,0,sh,1
4850,d,j,0,aj,1
4851,m,i,1,di,1
4852,v,y,0,ky,1
4853,m,d,0,hd,1
4854,s,d,0,id,1
4855,d,k,0,ak,1
4856,c,r,0,er,1
4857,s,y,0,ay,1
4858,p,t,0,et,1
4859,t,r,0,ur,1
4860,s,l,0,il,1
4861,r,h,0,sh,1
4862,p,m,0,em,1
4863,r,h,0,sh,1
4864,k,p,0,ep,1
4865,b,n,0,in,1
4866,m,j,0,oj,1
4867,s,b,0,ab,1
4868,p,m,0,am,1
4869,s,r,0,ir,1
4870,a,t,0,it,1
4871,b,r,0,ar,1
4872,g,b,0,ib,1
4873,r,l,0,ul,1
4874,b,n,0,en,1
4875,n,l,0,il,1
4876,l,r,0,er,1
4877,v,l,0,al,1
4878,s,j,0,aj,1
4879,s,r,0,ar,1
4880,d,r,0,er,1
4881,s,l,0,il,1
4882,b,i,1,ri,1
4883,r,l,0,ul,1
4884,r,r,0,er,1
4885,m,h,0,th,1
4886,s,y,0,ay,1
4887,m,d,0,md,1
4888,v,n,0,un,1
4889,a,n,0,an,1
4890,r,u,1,ku,1
4891,t,m,0,am,1
4892,a,d,0,ad,1
4893,m,t,0,it,1
4894,b,l,0,al,1
4895,v,r,0,er,1
4896,r,w,0,aw,1
4897,n,o,1,oo,1
4898,f,d,0,nd,1
4899,s,r,0,ar,1
4900,r,t,0,at,1
4901,s,t,0,nt,1
4902,p,j,0,aj,1
4903,a,l,0,il,1
4904,s,r,0,ar,1
4905,o,m,0,om,1
4906,b,o,1,to,1
4907,s,p,0,ep,1
4908,s,u,1,nu,1
4909,f,l,0,al,1
4910,k,n,0,an,1
4911,s,a,1,ta,1
4912,a,d,0,nd,1
4913,m,j,0,oj,1
4914,n,n,0,en,1
4915,p,p,0,ap,1
4916,a,n,0,un,1
4917,p,n,0,an,1
4918,s,d,0,id,1
4919,d,a,1,na,1
4920,s,n,0,an,1
4921,r,a,1,ra,1
4922,n,n,0,en,1
4923,b,l,0,al,1
4924,r,i,1,vi,1
4925,r,b,0,ab,1
4926,a,y,0,ay,1
4927,s,h,0,sh,1
4928,p,r,0,ar,1
4929,s,j,0,aj,1
4930,b,o,1,to,1
4931,k,n,0,an,1
4932,s,r,0,er,1
4933,p,n,0,en,1
4934,l,h,0,sh,1
4935,s,t,0,at,1
4936,m,h,0,sh,1
4937,k,d,0,id,1
4938,p,l,0,ol,1
4939,v,n,0,in,1
4940,r,i,1,vi,1
4941,a,d,0,ad,1
4942,b,i,1,gi,1
4943,s,l,0,il,1
4944,n,r,0,er,1
4945,b,y,0,by,1
4946,k,n,0,an,1
4947,k,r,0,or,1
4948,a,y,0,ay,1
4949,s,n,0,in,1
4950,s,k,0,ik,1
4951,m,r,0,ir,1
4952,h,a,1,ra,1
4953,d,j,0,aj,1
4954,n,r,0,er,1
4955,k,h,0,sh,1
4956,d,u,1,pu,1
4957,m,n,0,in,1
4958,s,m,0,am,1
4959,v,l,0,al,1
4960,a,r,0,ir,1
4961,v,n,0,in,1
4962,j,l,0,al,1
4963,m,d,0,ad,1
4964,t,r,0,er,1
4965,h,n,0,en,1
4966,a,y,0,ay,1
4967,a,y,0,ay,1
4968,p,l,0,ol,1
4969,k,m,0,am,1
4970,p,n,0,an,1
4971,s,l,0,il,1
4972,a,n,0,an,1
4973,s,m,0,im,1
4974,s,n,0,an,1
4975,r,u,1,ju,1
4976,p,d,0,od,1
4977,s,i,1,ri,1
4978,n,m,0,im,1
4979,s,d,0,id,1
4980,n,r,0,ir,1
4981,s,v,0,ev,1
4982,d,k,0,ak,1
4983,s,m,0,am,1
4984,m,k,0,ak,1
4985,k,j,0,nj,1
4986,t,r,0,ar,1
4987,m,h,0,sh,1
4988,v,r,0,ar,1
4989,b,m,0,am,1
4990,n,h,0,sh,1
4991,l,h,0,kh,1
4992,s,r,0,er,1
4993,d,h,0,sh,1
4994,k,n,0,an,1
4995,r,h,0,bh,1
4996,s,r,0,er,1
4997,j,i,1,ai,1
4998,s,h,0,sh,1
4999,g,d,0,nd,1
5000,h,a,1,ra,1
5001,j,i,1,ai,1
5002,r,r,0,ar,1
5003,s,l,0,il,1
5004,s,a,1,va,1
5005,a,r,0,ar,1
5006,m,d,0,id,1
5007,s,i,1,ai,1
5008,n,t,0,nt,1
5009,t,k,0,ik,1
5010,r,t,0,it,1
5011,r,h,0,sh,1
5012,o,m,0,om,1
5013,a,t,0,it,1
5014,p,d,0,ad,1
5015,m,r,0,er,1
5016,h,r,0,er,1
5017,b,a,1,ra,1
5018,p,i,1,ti,1
5019,s,p,0,ep,1
5020,g,v,0,av,1
5021,r,h,0,sh,1
5022,a,h,0,sh,1
5023,t,k,0,ek,1
5024,s,j,0,aj,1
5025,m,u,1,du,1
5026,k,p,0,ep,1
5027,s,t,0,et,1
5028,l,v,0,uv,1
5029,l,a,1,ya,1
5030,j,r,0,er,1
5031,v,y,0,ay,1
5032,s,l,0,il,1
5033,n,t,0,nt,1
5034,r,h,0,sh,1
5035,v,k,0,ek,1
5036,s,y,0,ay,1
5037,a,b,0,ab,1
5038,v,h,0,sh,1
5039,n,n,0,in,1
5040,m,d,0,ad,1
5041,m,n,0,en,1
5042,i,d,0,ad,1
5043,l,i,1,li,1
5044,r,m,0,am,1
5045,l,u,1,ru,1
5046,n,l,0,al,1
5047,r,r,0,dr,1
5048,r,a,1,ra,1
5049,p,n,0,an,1
5050,s,a,1,ra,1
5051,t,u,1,ku,1
5052,r,i,1,ti,1
5053,j,n,0,an,1
5054,a,l,0,ul,1
5055,a,l,0,il,1
5056,m,j,0,oj,1
5057,s,l,0,il,1
5058,m,h,0,sh,1
5059,h,j,0,aj,1
5060,a,p,0,op,1
5061,a,h,0,sh,1
5062,a,b,0,ab,1
5063,a,t,0,it,1
5064,a,n,0,an,1
5065,c,e,1,le,1
5066,a,r,0,er,1
5067,j,d,0,ed,1
5068,n,n,0,in,1
5069,g,m,0,am,1
5070,v,h,0,sh,1
5071,b,l,0,al,1
5072,r,h,0,sh,1
5073,n,h,0,sh,1
5074,j,l,0,al,1
5075,a,h,0,sh,1
5076,h,h,0,sh,1
5077,s,u,1,nu,1
5078,s,j,0,aj,1
5079,k,n,0,an,1
5080,r,h,0,sh,1
5081,p,r,0,dr,1
5082,r,j,0,aj,1
5083,c,n,0,an,1
5084,p,n,0,an,1
5085,s,v,0,ev,1
5086,s,r,0,ir,1
5087,s,m,0,am,1
5088,s,v,0,iv,1
5089,k,a,1,wa,1
5090,s,r,0,ir,1
5091,m,u,1,nu,1
5092,s,u,1,nu,1
5093,a,h,0,sh,1
5094,y,r,0,dr,1
5095,r,n,0,in,1
5096,p,n,0,an,1
5097,s,m,0,am,1
5098,r,u,1,ju,1
5099,r,i,1,vi,1
5100,h,u,1,hu,1
5101,v,y,0,ky,1
5102,r,v,0,ev,1
5103,f,j,0,oj,1
5104,d,k,0,ak,1
5105,c,n,0,an,1
5106,a,b,0,ab,1
5107,a,h,0,sh,1
5108,r,l,0,ul,1
5109,a,y,0,ay,1
5110,p,m,0,em,1
5111,s,r,0,ar,1
5112,f,a,1,da,1
5113,m,d,0,hd,1
5114,g,d,0,nd,1
5115,p,l,0,al,1
5116,p,e,1,ce,1
5117,u,r,0,ir,1
5118,a,h,0,sh,1
5119,n,j,0,aj,1
5120,k,i,1,ri,1
5121,r,m,0,am,1
5122,r,u,1,ju,1
5123,m,p,0,ep,1
5124,i,t,0,et,1
5125,a,u,1,hu,1
5126,p,h,0,sh,1
5127,s,p,0,ep,1
5128,a,k,0,ok,1
5129,m,l,0,ol,1
5130,h,r,0,er,1
5131,v,d,0,od,1
5132,m,n,0,in,1
5133,m,j,0,aj,1
5134,r,h,0,sh,1
5135,r,i,1,ri,1
5136,d,d,0,nd,1
5137,r,t,0,at,1
5138,m,d,0,md,1
5139,w,m,0,im,1
5140,r,r,0,er,1
5141,w,m,0,im,1
5142,s,h,0,sh,1
5143,m,t,0,it,1
5144,y,l,0,al,1
5145,b,k,0,uk,1
5146,m,h,0,sh,1
5147,s,l,0,il,1
5148,s,m,0,am,1
5149,r,i,1,vi,1
5150,r,h,0,sh,1
5151,s,l,0,il,1
5152,s,n,0,in,1
5153,s,i,1,hi,1
5154,p,j,0,aj,1
5155,r,n,0,an,1
5156,a,k,0,ok,1
5157,p,n,0,en,1
5158,m,l,0,ol,1
5159,r,i,1,ai,1
5160,s,j,0,aj,1
5161,k,n,0,an,1
5162,a,f,0,if,1
5163,y,h,0,sh,1
5164,v,y,0,ay,1
5165,a,u,1,nu,1
5166,r,l,0,ul,1
5167,r,l,0,ul,1
5168,v,y,0,ay,1
5169,a,k,0,ok,1
5170,v,s,0,as,1
5171,j,r,0,ir,1
5172,s,u,1,ju,1
5173,a,t,0,it,1
5174,m,j,0,oj,1
5175,p,u,1,pu,1
5176,g,u,1,lu,1
5177,s,n,0,in,1
5178,r,j,0,aj,1
5179,t,j,0,ej,1
5180,a,t,0,it,1
5181,k,n,0,an,1
5182,a,h,0,sh,1
5183,b,l,0,al,1
5184,y,a,1,ra,1
5185,r,d,0,nd,1
5186,p,n,0,en,1
5187,s,r,0,er,1
5188,s,m,0,am,1
5189,r,r,0,ar,1
5190,n,j,0,aj,1
5191,b,l,0,al,1
5192,a,h,0,sh,1
5193,b,y,0,ty,1
5194,s,l,0,il,1
5195,r,l,0,ul,1
5196,s,l,0,il,1
5197,i,r,0,ar,1
5198,s,b,0,ab,1
5199,a,k,0,ok,1
5200,s,j,0,aj,1
5201,d,k,0,ak,1
5202,a,l,0,ul,1
5203,s,j,0,aj,1
5204,v,r,0,er,1
5205,b,r,0,er,1
5206,s,h,0,dh,1
5207,c,r,0,er,1
5208,p,n,0,an,1
5209,c,n,0,an,1
5210,b,l,0,ul,1
5211,d,k,0,ak,1
5212,d,k,0,ak,1
5213,o,i,1,mi,1
5214,r,h,0,sh,1
5215,d,j,0,aj,1
5216,n,h,0,sh,1
5217,s,n,0,an,1
5218,j,r,0,er,1
5219,r,a,1,na,1
5220,d,m,0,rm,1
5221,d,h,0,sh,1
5222,n,h,0,kh,1
5223,v,h,0,sh,1
5224,f,n,0,in,1
5225,h,n,0,an,1
5226,m,d,0,hd,1
5227,r,m,0,im,1
5228,b,r,0,ir,1
5229,a,u,1,hu,1
5230,h,p,0,ep,1
5231,s,d,0,od,1
5232,r,m,0,am,1
5233,k,a,1,pa,1
5234,h,a,1,ma,1
5235,a,l,0,il,1
5236,n,m,0,am,1
5237,s,a,1,ra,1
5238,n,t,0,it,1
5239,s,l,0,il,1
5240,s,u,1,nu,1
5241,s,v,0,ev,1
5242,a,t,0,it,1
5243,v,l,0,al,1
5244,l,h,0,sh,1
5245,i,o,1,oo,1
5246,r,h,0,sh,1
5247,n,h,0,sh,1
5248,d,r,0,er,1
5249,a,h,0,sh,1
5250,r,r,0,ir,1
5251,s,m,0,im,1
5252,v,y,0,ay,1
5253,p,s,0,is,1
5254,b,e,1,he,1
5255,g,d,0,nd,1
5256,r,m,0,am,1
5257,m,l,0,al,1
5258,p,j,0,aj,1
5259,r,l,0,ul,1
5260,r,i,1,vi,1
5261,y,h,0,sh,1
5262,v,h,0,sh,1
5263,d,r,0,ar,1
5264,p,j,0,aj,1
5265,b,j,0,aj,1
5266,m,h,0,sh,1
5267,s,n,0,on,1
5268,k,p,0,ep,1
5269,n,j,0,aj,1
5270,l,l,0,al,1
5271,h,a,1,wa,1
5272,m,h,0,sh,1
5273,r,h,0,gh,1
5274,d,r,0,ar,1
5275,r,h,0,sh,1
5276,p,s,0,as,1
5277,l,n,0,an,1
5278,a,r,0,ur,1
5279,m,n,0,an,1
5280,v,y,0,ay,1
5281,d,k,0,ak,1
5282,p,z,0,ez,1
5283,g,v,0,av,1
5284,r,t,0,it,1
5285,r,h,0,sh,1
5286,r,g,0,ng,1
5287,a,i,1,ni,1
5288,s,n,0,an,1
5289,a,n,0,an,1
5290,r,t,0,it,1
5291,r,j,0,aj,1
5292,r,t,0,it,1
5293,s,t,0,it,1
5294,t,y,0,ay,1
5295,a,l,0,ul,1
5296,m,h,0,sh,1
5297,s,m,0,am,1
5298,s,r,0,ar,1
5299,s,n,0,in,1
5300,r,t,0,it,1
5301,g,m,0,am,1
5302,r,l,0,ul,1
5303,r,h,0,sh,1
5304,p,p,0,ep,1
5305,d,i,1,ai,1
5306,s,r,0,er,1
5307,s,h,0,sh,1
5308,k,r,0,or,1
5309,p,j,0,aj,1
5310,r,v,0,iv,1
5311,p,j,0,ej,1
5312,h,t,0,nt,1
5313,c,n,0,an,1
5314,t,l,0,al,1
5315,a,l,0,il,1
5316,d,h,0,sh,1
5317,c,e,1,te,1
5318,m,d,0,hd,1
5319,n,j,0,aj,1
5320,n,n,0,in,1
5321,s,r,0,ir,1
5322,h,h,0,sh,1
5323,s,d,0,id,1
5324,s,m,0,am,1
5325,m,a,1,na,1
5326,p,a,1,ha,1
5327,s,y,0,ay,1
5328,s,t,0,nt,1
5329,s,n,0,an,1
5330,n,r,0,er,1
5331,n,h,0,sh,1
5332,s,h,0,sh,1
5333,s,h,0,sh,1
5334,p,e,1,pe,1
5335,s,i,1,ri,1
5336,s,i,1,ri,1
5337,s,r,0,ar,1
5338,a,d,0,ad,1
5339,s,h,0,sh,1
5340,a,l,0,il,1
5341,i,o,1,oo,1
5342,a,v,0,iv,1
5343,s,n,0,en,1
5344,a,f,0,rf,1
5345,s,u,1,nu,1
5346,d,a,1,ma,1
5347,s,z,0,az,1
5348,m,h,0,sh,1
5349,a,l,0,il,1
5350,b,a,1,da,1
5351,v,m,0,am,1
5352,s,m,0,im,1
5353,y,h,0,sh,1
5354,s,r,0,ir,1
5355,m,j,0,aj,1
5356,k,h,0,sh,1
5357,a,j,0,uj,1
5358,r,r,0,er,1
5359,r,i,1,vi,1
5360,s,h,0,dh,1
5361,d,h,0,sh,1
5362,t,k,0,ok,1
5363,v,t,0,nt,1
5364,r,h,0,sh,1
5365,p,t,0,it,1
5366,s,r,0,ir,1
5367,s,d,0,ad,1
5368,u,r,0,ar,1
5369,a,d,0,nd,1
5370,s,p,0,ep,1
5371,s,p,0,ep,1
5372,b,a,1,la,1
5373,k,l,0,al,1
5374,s,i,1,hi,1
5375,s,h,0,sh,1
5376,r,a,1,ra,1
5377,n,h,0,sh,1
5378,a,d,0,nd,1
5379,h,h,0,sh,1
5380,r,r,0,er,1
5381,a,d,0,nd,1
5382,s,m,0,am,1
5383,m,d,0,hd,1
5384,a,n,0,un,1
5385,r,m,0,am,1
5386,t,r,0,ir,1
5387,a,f,0,if,1
5388,r,m,0,am,1
5389,j,r,0,ar,1
5390,s,r,0,ar,1
5391,j,t,0,nt,1
5392,p,n,0,an,1
5393,s,m,0,am,1
5394,s,h,0,sh,1
5395,h,n,0,un,1
5396,m,j,0,oj,1
5397,s,p,0,ep,1
5398,p,m,0,em,1
5399,v,k,0,ek,1
5400,d,k,0,ak,1
5401,r,a,1,ja,1
5402,a,h,0,sh,1
5403,d,k,0,ak,1
5404,w,m,0,em,1
5405,b,y,0,by,1
5406,m,n,0,un,1
5407,j,d,0,id,1
5408,r,l,0,ul,1
5409,h,y,0,py,1
5410,p,d,0,od,1
5411,p,n,0,en,1
5412,a,g,0,ag,1
5413,h,a,1,ra,1
5414,r,t,0,et,1
5415,d,k,0,ak,1
5416,a,k,0,ok,1
5417,m,a,1,ta,1
5418,h,m,0,im,1
5419,r,h,0,sh,1
5420,u,r,0,ar,1
5421,f,y,0,ey,1
5422,k,n,0,an,1
5423,a,h,0,sh,1
5424,k,a,1,na,1
5425,k,a,1,na,1
5426,j,h,0,sh,1
5427,v,y,0,ky,1
5428,v,n,0,in,1
5429,p,n,0,an,1
5430,g,r,0,er,1
5431,f,m,0,im,1
5432,s,d,0,id,1
5433,s,d,0,id,1
5434,r,l,0,ul,1
5435,r,r,0,er,1
5436,r,t,0,et,1
5437,t,r,0,ar,1
5438,s,b,0,ib,1
5439,a,n,0,un,1
5440,m,h,0,sh,1
5441,j,i,1,ai,1
5442,h,j,0,aj,1
5443,j,h,0,sh,1
5444,r,r,0,ar,1
5445,u,n,0,an,1
5446,b,m,0,im,1
5447,m,r,0,er,1
5448,s,r,0,ar,1
5449,m,v,0,av,1
5450,r,j,0,aj,1
5451,s,l,0,al,1
5452,a,n,0,un,1
5453,a,r,0,ar,1
5454,r,n,0,an,1
5455,s,t,0,it,1
5456,d,k,0,ak,1
5457,n,r,0,er,1
5458,p,j,0,aj,1
5459,d,k,0,ak,1
5460,a,y,0,ay,1
5461,r,u,1,hu,1
5462,a,a,1,na,1
5463,n,p,0,ep,1
5464,b,r,0,ur,1
5465,m,t,0,it,1
5466,r,t,0,it,1
5467,l,n,0,an,1
5468,m,t,0,it,1
5469,v,t,0,nt,1
5470,a,h,0,sh,1
5471,m,a,1,ra,1
5472,j,m,0,am,1
5473,m,h,0,sh,1
5474,a,t,0,it,1
5475,a,l,0,il,1
5476,a,n,0,un,1
5477,d,k,0,ak,1
5478,s,n,0,an,1
5479,n,n,0,in,1
5480,k,e,1,re,1
5481,m,m,0,m,1
5482,p,e,1,ce,1
5483,a,y,0,ay,1
5484,m,d,0,hd,1
5485,t,k,0,ik,1
5486,r,h,0,sh,1
5487,k,n,0,an,1
5488,s,p,0,ep,1
5489,s,y,0,ny,1
5490,v,m,0,am,1
5491,m,a,1,ra,1
5492,d,h,0,sh,1
5493,b,j,0,aj,1
5494,m,h,0,sh,1
5495,r,t,0,at,1
5496,n,l,0,al,1
5497,g,h,0,sh,1
5498,s,l,0,il,1
5499,r,t,0,at,1
5500,s,r,0,er,1
5501,b,t,0,at,1
5502,s,y,0,ay,1
5503,r,h,0,sh,1
5504,r,h,0,sh,1
5505,p,h,0,sh,1
5506,p,p,0,ep,1
5507,r,n,0,an,1
5508,s,n,0,in,1
5509,d,r,0,er,1
5510,n,r,0,er,1
5511,m,h,0,sh,1
5512,s,m,0,am,1
5513,a,n,0,an,1
5514,v,y,0,ay,1
5515,c,u,1,tu,1
5516,s,h,0,sh,1
5517,k,m,0,km,1
5518,s,t,0,it,1
5519,g,l,0,al,1
5520,n,n,0,in,1
5521,b,t,0,at,1
5522,s,a,1,ta,1
5523,g,n,0,an,1
5524,j,u,1,tu,1
5525,j,i,1,ti,1
5526,c,u,1,du,1
5527,s,j,0,aj,1
5528,a,t,0,it,1
5529,b,r,0,er,1
5530,k,n,0,an,1
5531,a,l,0,ul,1
5532,k,l,0,al,1
5533,n,j,0,aj,1
5534,k,r,0,ir,1
5535,v,y,0,ay,1
5536,s,h,0,th,1
5537,d,k,0,ak,1
5538,a,k,0,ek,1
5539,a,j,0,uj,1
5540,v,y,0,ay,1
5541,d,k,0,ak,1
5542,s,n,0,in,1
5543,p,u,1,tu,1
5544,r,m,0,am,1
5545,k,a,1,wa,1
5546,d,a,1,ra,1
5547,d,k,0,ak,1
5548,r,h,0,sh,1
5549,b,r,0,er,1
5550,n,r,0,er,1
5551,a,b,0,ab,1
5552,r,u,1,ju,1
5553,r,a,1,ja,1
5554,m,n,0,an,1
5555,s,r,0,er,1
5556,s,t,0,it,1
5557,v,y,0,ay,1
5558,r,u,1,mu,1
5559,s,j,0,aj,1
5560,d,m,0,rm,1
5561,j,r,0,er,1
5562,v,d,0,od,1
5563,a,t,0,it,1
5564,v,h,0,sh,1
5565,s,l,0,il,1
5566,a,m,0,em,1
5567,r,n,0,an,1
5568,m,l,0,al,1
